,Binario
1833,0.9940302114769565
1834,0.9940302114769565
1835,0.9456603046006402
1836,0.9940302114769565
1837,0.9456603046006402
1838,0.9456603046006402
1839,0.8453509366224365
1840,0.9940302114769565
1841,0.9940302114769565
1842,0.9940302114769565
1843,0.9456603046006402
1844,0.9940302114769565
1845,0.9456603046006402
1846,0.9456603046006402
1847,0.8453509366224365
1848,0.9940302114769565
1849,0.9456603046006402
1850,0.9456603046006402
1851,0.8453509366224365
1852,0.9456603046006402
1853,0.8453509366224365
1854,0.8453509366224365
1855,0.6840384356390417
1856,0.9456603046006402
1857,0.9940302114769565
1858,0.9940302114769565
1859,0.9940302114769565
1860,0.9940302114769565
1861,0.9940302114769565
1862,0.9940302114769565
1863,0.9456603046006402
1864,0.9940302114769565
1865,0.9940302114769565
1866,0.9940302114769565
1867,0.9456603046006402
1868,0.9940302114769565
1869,0.9456603046006402
1870,0.9456603046006402
1871,0.8453509366224365
1872,0.9940302114769565
1873,0.9940302114769565
1874,0.9940302114769565
1875,0.9456603046006402
1876,0.9940302114769565
1877,0.9456603046006402
1878,0.9456603046006402
1879,0.8453509366224365
1880,0.9940302114769565
1881,0.9456603046006402
1882,0.9456603046006402
1883,0.8453509366224365
1884,0.9456603046006402
1885,0.8453509366224365
1886,0.8453509366224365
1887,0.6840384356390417
1888,0.9940302114769565
1889,0.9940302114769565
1890,0.9940302114769565
1891,0.9456603046006402
1892,0.9940302114769565
1893,0.9456603046006402
1894,0.9456603046006402
1895,0.8453509366224365
1896,0.9940302114769565
1897,0.9456603046006402
1898,0.9456603046006402
1899,0.8453509366224365
1900,0.9456603046006402
1901,0.8453509366224365
1902,0.8453509366224365
1903,0.6840384356390417
1904,0.9940302114769565
1905,0.9456603046006402
1906,0.9456603046006402
1907,0.8453509366224365
1908,0.9456603046006402
1909,0.8453509366224365
1910,0.8453509366224365
1911,0.6840384356390417
1912,0.9456603046006402
1913,0.8453509366224365
1914,0.8453509366224365
1915,0.6840384356390417
1916,0.8453509366224365
1917,0.6840384356390417
1918,0.6840384356390417
1919,0.4394969869215134
